Symbol,Name,Sector,Industry
A,Agilent Technologies Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,Industrials,Aluminum
AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
AAON,AAON Inc. Common Stock,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing
AB,AllianceBernstein Holding L.P.  Units,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,Finance,Major Banks
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABM,ABM Industries Incorporated Common Stock,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Hotels/Resorts
ABR,Arbor Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts
ABT,Abbott Laboratories Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACA,Arcosa Inc. Common Stock ,Industrials,Metal Fabrications
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,Medical Specialities
ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Staples,Food Chains
ACIW,ACI Worldwide Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,Consumer Discretionary,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),Consumer Discretionary,Business Services
ACT,Enact Holdings Inc. Common Stock,Finance,Specialty Insurers
ACVA,ACV Auctions Inc. Class A Common Stock,Consumer Discretionary,Business Services
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors
ADM,Archer-Daniels-Midland Company Common Stock,Consumer Staples,Packaged Foods
ADNT,Adient plc Ordinary Shares ,Consumer Discretionary,Auto Parts:O.E.M.
ADP,Automatic Data Processing Inc. Common Stock,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
AEE,Ameren Corporation Common Stock,Utilities,Power Generation
AEG,Aegon Ltd. New York Registry Shares,Finance,Life Insurance
AEIS,Advanced Energy Industries Inc. Common Stock,Technology,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company Common Stock,Finance,Life Insurance
AEM,Agnico Eagle Mines Limited Common Stock,Basic Materials,Precious Metals
AEO,American Eagle Outfitters Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Consumer Discretionary,Diversified Commercial Services
AES,The AES Corporation Common Stock,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,Industrials,Metal Fabrications
AFG,American Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance
AFRM,Affirm Holdings Inc. Class A Common Stock,Consumer Discretionary,Business Services
AGCO,AGCO Corporation Common Stock,Industrials,Industrial Machinery/Components
AGI,Alamos Gold Inc. Class A Common Shares,,
AGL,agilon health inc. Common Stock,Health Care,Managed Health Care
AGM,Federal Agricultural Mortgage Corporation Common Stock,Finance,Finance Companies
AGNC,AGNC Investment Corp. Common Stock,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,Utilities,Electric Utilities: Central
AGYS,Agilysys Inc. Common Stock (DE),Technology,EDP Services
AI,C3.ai Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AIG,American International Group Inc. New Common Stock,Finance,Life Insurance
AIN,Albany International Corporation Common Stock,Consumer Discretionary,Textiles
AIR,AAR Corp. Common Stock,Industrials,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,Real Estate,Real Estate Investment Trusts
AIT,Applied Industrial Technologies Inc. Common Stock,Consumer Discretionary,Industrial Specialties
AIZ,Assurant Inc. Common Stock,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers
AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,Business Services
AL,Air Lease Corporation Class A Common Stock,Consumer Discretionary,Diversified Commercial Services
ALB,Albemarle Corporation Common Stock,Industrials,Major Chemicals
ALC,Alcon Inc. Ordinary Shares,Health Care,Ophthalmic Goods
ALE,Allete Inc.,Utilities,Power Generation
ALG,Alamo Group Inc. Common Stock,Industrials,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,Health Care,Industrial Specialties
ALIT,Alight Inc. Class A Common Stock,Consumer Discretionary,Business Services
ALK,Alaska Air Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
ALKS,Alkermes plc Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,Alkami Technology Inc. Common Stock,Technology,EDP Services
ALL,Allstate Corporation (The) Common Stock,Finance,Property-Casualty Insurers
ALLE,Allegion plc Ordinary Shares,Consumer Discretionary,Diversified Commercial Services
ALLY,Ally Financial Inc. Common Stock,Finance,Major Banks
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALPN,Alpine Immune Sciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALRM,Alarm.com Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ALSN,Allison Transmission Holdings Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
ALTM,Arcadium Lithium plc Ordinary Shares,,
ALTR,Altair Engineering Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
ALV,Autoliv Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
ALVO,Alvotech Ordinary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AM,Antero Midstream Corporation Common Stock,Utilities,Natural Gas Distribution
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,Technology,Semiconductors
AMCR,Amcor plc Ordinary Shares,Consumer Discretionary,Miscellaneous manufacturing industries
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors
AME,AMETEK Inc.,Industrials,Industrial Machinery/Components
AMED,Amedisys Inc Common Stock,Health Care,Medical/Nursing Services
